Year,Time_of_Day,Severity,Accident_Count
2016,Afternoon,1,63
2016,Afternoon,2,77091
2016,Afternoon,3,32417
2016,Afternoon,4,3322
2016,Evening,1,56
2016,Evening,2,59023
2016,Evening,3,29081
2016,Evening,4,2407
2016,Morning,1,82
2016,Morning,2,108035
2016,Morning,3,45320
2016,Morning,4,4345
2016,Night,1,19
2016,Night,2,20892
2016,Night,3,16307
2016,Night,4,3804
2017,Afternoon,1,83
2017,Afternoon,2,135776
2017,Afternoon,3,63333
2017,Afternoon,4,6020
2017,Evening,1,69
2017,Evening,2,90423
2017,Evening,3,49075
2017,Evening,4,4111
2017,Morning,1,101
2017,Morning,2,194899
2017,Morning,3,87344
2017,Morning,4,7564
2017,Night,1,23
2017,Night,2,30401
2017,Night,3,24899
2017,Night,4,5632
2018,Afternoon,1,57
2018,Afternoon,2,152891
2018,Afternoon,3,80819
2018,Afternoon,4,6573
2018,Evening,1,50
2018,Evening,2,100671
2018,Evening,3,57560
2018,Evening,4,4736
2018,Morning,1,127
2018,Morning,2,271416
2018,Morning,3,117568
2018,Morning,4,8298
2018,Night,1,19
2018,Night,2,37753
2018,Night,3,28110
2018,Night,4,5256
2019,Afternoon,1,40
2019,Afternoon,2,171038
2019,Afternoon,3,67478
2019,Afternoon,4,6840
2019,Evening,1,30
2019,Evening,2,123115
2019,Evening,3,48555
2019,Evening,4,5102
2019,Morning,1,117
2019,Morning,2,325478
2019,Morning,3,93989
2019,Morning,4,8764
2019,Night,1,12
2019,Night,2,55615
2019,Night,3,23279
2019,Night,4,6624
2020,Afternoon,1,10368
2020,Afternoon,2,230559
2020,Afternoon,3,59299
2020,Afternoon,4,7694
2020,Evening,1,7140
2020,Evening,2,167258
2020,Evening,3,41702
2020,Evening,4,6165
2020,Morning,1,7883
2020,Morning,2,286146
2020,Morning,3,61754
2020,Morning,4,8068
2020,Night,1,2590
2020,Night,2,208890
2020,Night,3,18885
2020,Night,4,7824
2021,Afternoon,1,17
2021,Afternoon,2,370808
2021,Afternoon,3,45750
2021,Afternoon,4,7116
2021,Evening,1,13
2021,Evening,2,234239
2021,Evening,3,31641
2021,Evening,4,5285
2021,Morning,1,110
2021,Morning,2,413975
2021,Morning,3,52490
2021,Morning,4,7391
2021,Night,1,7
2021,Night,2,192858
2021,Night,3,15732
2021,Night,4,6321
2022,Afternoon,1,4179
2022,Afternoon,2,382475
2022,Afternoon,3,24059
2022,Afternoon,4,7767
2022,Evening,1,4915
2022,Evening,2,222020
2022,Evening,3,15633
2022,Evening,4,5354
2022,Morning,1,25212
2022,Morning,2,356079
2022,Morning,3,28825
2022,Morning,4,8685
2022,Night,1,3028
2022,Night,2,138904
2022,Night,3,8061
2022,Night,4,6513
2023,Afternoon,2,49586
2023,Afternoon,4,1105
2023,Evening,2,30650
2023,Evening,4,992
2023,Morning,2,53876
2023,Morning,4,1457
2023,Night,2,23312
2023,Night,4,1104
